title,genre_detail
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Self-Help
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Politics
Go Set a Watchman: A Novel,Literary Fiction
Go the F**k to Sleep,Humor
Going Rogue: An American Life,Memoir
Gone Girl,Thriller
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Self-Help
Good to Great: Why Some Companies Make the Leap and Others Don't,Business
Goodnight Moon,Children's
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Children's
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",Health & Wellness
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),Romance
Guts,Graphic Novel
Hamilton: The Revolution,History
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Memoir
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",Fantasy
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",Fantasy
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",Fantasy
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",Fantasy
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",Fantasy
Harry Potter Coloring Book,Coloring Book
Harry Potter Paperback Box Set (Books 1-7),Fantasy
Have a Little Faith: A True Story,Religion & Spirituality
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Religion & Spirituality
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Memoir
Homebody: A Guide to Creating Spaces You Never Want to Leave,Home & Design
How to Win Friends & Influence People,Self-Help
Howard Stern Comes Again,Memoir
Humans of New York,Nonfiction
Humans of New York : Stories,Nonfiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Coloring Book
"I, Alex Cross",Thriller
If Animals Kissed Good Night,Children's
If I Stay,Young Adult
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",History
Inferno,Thriller
Inheritance: Book IV (Inheritance Cycle),Fantasy
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Cooking
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Religion & Spirituality
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Religion & Spirituality
JOURNEY TO THE ICE P,Children's
Joyland (Hard Case Crime),Horror
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,True Crime
Killing Jesus (Bill O'Reilly's Killing Series),History
Killing Kennedy: The End of Camelot,History
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),History
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),History
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),History
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),History
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Memoir
Knock-Knock Jokes for Kids,Children's
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Children's
Laugh-Out-Loud Jokes for Kids,Children's
"Lean In: Women, Work, and the Will to Lead",Business
Leonardo da Vinci,Biography
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Reference
Liberty and Tyranny: A Conservative Manifesto,Politics
Life,Memoir
Little Bee: A Novel,Literary Fiction
Little Blue Truck,Children's
Little Fires Everywhere,Literary Fiction
Looking for Alaska,Young Adult
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Religion & Spirituality
Love You Forever,Children's
Magnolia Table: A Collection of Recipes for Gathering,Cooking
Make It Ahead: A Barefoot Contessa Cookbook,Cooking
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Self-Help
"Mastering the Art of French Cooking, Vol. 2",Cooking
Milk and Honey,Poetry
Milk and Vine: Inspirational Quotes From Classic Vines,Humor
Mindset: The New Psychology of Success,Self-Help
Mockingjay (The Hunger Games),Young Adult
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Children's
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Children's
New Moon (The Twilight Saga),Romance
Night (Night),Memoir
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Memoir
Obama: An Intimate Portrait,Biography
"Oh, the Places You'll Go!",Children's
Old School (Diary of a Wimpy Kid #10),Children's
Olive Kitteridge,Literary Fiction
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Religion & Spirituality
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Self-Help
Origin: A Novel (Robert Langdon),Thriller
Orphan Train,Historical Fiction
Outliers: The Story of Success,Nonfiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Children's
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Fantasy
Player's Handbook (Dungeons & Dragons),Reference
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Children's
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Religion & Spirituality
"Publication Manual of the American Psychological Association, 6th Edition",Reference
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Children's
Quiet: The Power of Introverts in a World That Can't Stop Talking,Self-Help
Radical: Taking Back Your Faith from the American Dream,Religion & Spirituality
Ready Player One: A Novel,Science Fiction
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Children's
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Children's
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Cooking
Sarah's Key,Historical Fiction
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",Children's
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Coloring Book
Sh*t My Dad Says,Humor
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Politics
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Health & Wellness
Sookie Stackhouse,Fantasy
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Religion & Spirituality
Steve Jobs,Biography
Strange Planet (Strange Planet Series),Humor
StrengthsFinder 2.0,Business
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Nonfiction
Switch: How to Change Things When Change Is Hard,Business
Sycamore Row (Jake Brigance),Thriller
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Business
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Health & Wellness
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Health & Wellness
The 5 Love Languages: The Secret to Love That Lasts,Self-Help
The 5 Love Languages: The Secret to Love that Lasts,Self-Help
The 5000 Year Leap,Politics
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Self-Help
The Alchemist,Literary Fiction
The Amateur,Politics
The Art of Racing in the Rain: A Novel,Literary Fiction
The Big Short: Inside the Doomsday Machine,Business
The Blood of Olympus (The Heroes of Olympus (5)),Fantasy
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Health & Wellness
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Science
The Book of Basketball: The NBA According to The Sports Guy,Sports
The Book Thief,Historical Fiction
The Book with No Pictures,Children's
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,History
The Casual Vacancy,Literary Fiction
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Health & Wellness
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Health & Wellness
The Confession: A Novel,Thriller
The Constitution of the United States,Reference
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Humor
The Day the Crayons Quit,Children's
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Health & Wellness
The Elegance of the Hedgehog,Literary Fiction
The Fault in Our Stars,Young Adult
The Five Dysfunctions of a Team: A Leadership Fable,Business
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Self-Help
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Self-Help
The Getaway,Children's
The Girl on the Train,Thriller
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Thriller
The Girl Who Played with Fire (Millennium Series),Thriller
The Girl Who Played with Fire (Millennium),Thriller
The Girl with the Dragon Tattoo (Millennium Series),Thriller
The Going-To-Bed Book,Children's
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Literary Fiction
The Great Gatsby,Literary Fiction
The Guardians: A Novel,Thriller
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction
The Handmaid's Tale,Science Fiction
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Religion & Spirituality
The Hate U Give,Young Adult
The Help,Historical Fiction
"The House of Hades (Heroes of Olympus, Book 4)",Fantasy
The Hunger Games,Young Adult
The Hunger Games (Book 1),Young Adult
The Hunger Games Trilogy Boxed Set (1),Young Adult
The Immortal Life of Henrietta Lacks,Science
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Cooking
The Last Lecture,Memoir
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Fantasy
The Legend of Zelda: Hyrule Historia,Reference
The Lego Ideas Book: Unlock Your Imagination,Reference
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Self-Help
The Litigators,Thriller
"The Lost Hero (Heroes of Olympus, Book 1)",Fantasy
The Lost Symbol,Thriller
The Love Dare,Religion & Spirituality
The Magnolia Story,Memoir
"The Mark of Athena (Heroes of Olympus, Book 3)",Fantasy
The Martian,Science Fiction
The Maze Runner (Book 1),Young Adult
The Meltdown (Diary of a Wimpy Kid Book 13),Children's
The Mueller Report,Politics
The Nightingale: A Novel,Historical Fiction
The Official SAT Study Guide,Reference
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",Reference
The Paris Wife: A Novel,Historical Fiction
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Cooking
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Cooking
The Pioneer Woman Cooks: Food from My Frontier,Cooking
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Cooking
The Plant Paradox: The Hidden Dangers in “Healthy” Foods That Cause Disease and Weight Gain,Health & Wellness
The Pout-Pout Fish,Children's
The Power of Habit: Why We Do What We Do in Life and Business,Business
The President Is Missing: A Novel,Thriller
The Racketeer,Thriller
"The Red Pyramid (The Kane Chronicles, Book 1)",Fantasy
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",Politics
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Fantasy
The Shack: Where Tragedy Confronts Eternity,Religion & Spirituality
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Romance
The Silent Patient,Thriller
"The Son of Neptune (Heroes of Olympus, Book 2)",Fantasy
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Self-Help
The Sun and Her Flowers,Poetry
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Children's
"The Throne of Fire (The Kane Chronicles, Book 2)",Fantasy
The Time Traveler's Wife,Romance
The Tipping Point: How Little Things Can Make a Big Difference,Nonfiction
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Business
The Twilight Saga Collection,Romance
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Children's
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Cooking
The Very Hungry Caterpillar,Children's
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Health & Wellness
The Wonderful Things You Will Be,Children's
The Wonky Donkey,Children's
The Wright Brothers,Biography
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Politics
"Thinking, Fast and Slow",Science
Thirteen Reasons Why,Young Adult
Thomas Jefferson: The Art of Power,Biography
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Memoir
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Cooking
Tina Fey: Bossypants,Memoir
To Kill a Mockingbird,Literary Fiction
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Self-Help
"Towers of Midnight (Wheel of Time, Book Thirteen)",Fantasy
True Compass: A Memoir,Memoir
"Twilight (The Twilight Saga, Book 1)",Romance
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,Children's
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Biography
Under the Dome: A Novel,Horror
Unfreedom of the Press,Politics
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Coloring Book
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Religion & Spirituality
Watchmen,Graphic Novel
Water for Elephants: A Novel,Historical Fiction
What Happened,Memoir
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Humor
What Pet Should I Get? (Classic Seuss),Children's
What Should Danny Do? (The Power to Choose Series),Children's
What to Expect When You're Expecting,Health & Wellness
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",Health & Wellness
When Breath Becomes Air,Memoir
Where the Crawdads Sing,Mystery
Where the Wild Things Are,Children's
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,Humor
Wild: From Lost to Found on the Pacific Crest Trail,Memoir
Winter of the World: Book Two of the Century Trilogy,Historical Fiction
Women Food and God: An Unexpected Path to Almost Everything,Self-Help
Wonder,Young Adult
Wrecking Ball (Diary of a Wimpy Kid Book 14),Children's
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Self-Help
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,Self-Help
